River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.65,5.75,Normal,,10.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.97,13.99,Normal,,32.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.48,2.45,Normal,,79.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.54,1.48,Normal,,14.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.55,2.46,Normal,,36.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.26,1.25,Normal,,21.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.89,2.89,Normal,,1.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.04,9.03,Normal,,29.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.65,5.57,Alert,Falling,10.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.94,3.92,Normal,,13.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.78,6.77,Minor Flood,Falling,5.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.91,3.90,Alert,Falling,1.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.01,NA,,,8.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.53,Alert,,1.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.27,5.25,Alert,Falling,3.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.72,1.72,Normal,,7.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.90,0.90,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.18,1.19,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.34,0.34,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.73,0.73,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.35,0.35,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.26,0.25,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.76,-2.50,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.92,5.06,Alert,Rising,25.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.00,2.98,Normal,,44,.6
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.30,0.29,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.59,1.59,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.48,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.66,1.66,Normal,,3.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.12,3.13,Normal,,4.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.08,2.27,Normal,,18.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.63,2.62,Normal,,2.7,
