,"* Polgahawela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matale,"* Laggala Pallegama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Pitabeddara,
Kamburupitiya,
Kotapola,
Matara Four Gravets,
Malimbada,
Mulatiyana,
Welipitiya,
Kirinda Puhulwella,
Pasgoda,
Athuraliya,
Akuressa,
Thihagoda and
Hakmana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Pelmadulla,
Kahawatta,
Kiriella,
Nivithigala and
Ayagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Eheliyagoda,
Kalawana,
Ratnapura,
Godakawela,
Kolonna,
Elapatha,
Balangoda,
Kuruwita,
Imbulpe,
Openayake and
Weligepola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
