River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water 1
Level
Rising or
Falling","5 hr RF in
mm at
12:00
Midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,3.30,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.60,4.65,Normal,,21.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.57,12.51,Normal,,15.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.82,1.62,Normal,,20.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.36,1.47,Normal,,6.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.95,Normal,,54.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.10,Normal,,21.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.07,1.11,Normal,,8.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.90,7.20,Normal,,67.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.79,2.96,Normal,,76.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.74,3.10,Normal,,41.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.40,3.70,Normal,,32.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.15,Normal,,123.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.95,2.05,Normal,,29.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.39,0.36,Normal,,22.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.35,2.37,Normal,,7.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.55,0.55,Normal,,9.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.06,0.06,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.95,0.95,Normal,,3.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.51,2.82,Normal,,90.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.59,1.56,Normal,,31.4,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.47,3.45,Normal,,45.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.62,2.46,Normal,,27.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.37,2.70,Normal,,33.6,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,6.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.60,0.59,Normal,,0.4,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.39,0.37,Normal,,8.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.68,-1.65,Normal,,15.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.81,3.92,Normal,,10.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.18,2.10,Normal,,86.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.57,0.56,Normal,,14.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.97,1.97,Normal,,53.1,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.81,0.78,Normal,,22.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.00,2.00,Normal,,26.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.94,5.94,Alert,,32.0,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.25,4.18,Normal,,22.9,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.40,3.64,Normal,,12.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.06,3.06,Normal,,0.7,
