River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.79,3.71,Normal,,65.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.08,11.00,Normal,,65.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.59,Normal,,39.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.70,Normal,,31.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.99,0.97,Normal,,47.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.61,0.61,Normal,,14.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.76,1.76,Normal,,36.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,6.99,Normal,,63.8,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.32,2.30,Normal,,26.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.30,3.22,Normal,,15.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.21,5.25,Alert,Rising,78.1,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.73,3.13,Normal,,118.7,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.46,3.49,Normal,,59.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.21,1.24,Normal,,81.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.81,4.90,Normal,,58.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,2.03,Normal,,45.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.88,0.94,Normal,,34.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.47,0.60,Normal,,1.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.16,-0.16,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.40,0.40,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.1,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.34,-1.34,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.20,-0.20,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.94,-2.98,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.98,2.03,Normal,,4.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.31,1.33,Normal,,43.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.27,0.28,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.40,1.40,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.33,0.33,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.15,-0.15,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.06,-0.06,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.59,2.59,Normal,,28.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.38,1.38,Normal,,21.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.58,3.58,Alert,,59.8,
