"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :06th June 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,,,Elapatha,,2024.06.01-02,1353,4960,1,,,1,20,4,,2,13,54,
,,,Nivithagala,,2024.06.01-03,93,317,,,,,91,11,,,,,
,,,Ayagama,,2024.06.01-02,3394,13128,2,,,4,151,43,,11,82,318,
,,,Pelmadulla,,2024.06.01-02,107,428,1,,,,98,5,,,,,
,1,,Ehaliyagoda,,2024.06.01-02,2142,8219,1,3,,2,690,82,,5,49,153,
,,,Rathnapura,,2024.06.01-02,3109,11586,,1,,,138,8,,2,3,15,
,,රත්නපුර,Kuruvita,Heavy Rain/ High,2024.06.01-02,1144,4409,,,,4,180,30,,,,,
,,",uj;jpdGhp",Kalawana,wind/ Flood/ Cutting,2024.06.01-02,390,1367,,,,,374,30,1,,,,
,,Rathnapura,Kiriella,faliture/Landslide Risk,2024.06.01-02,2145,7999,,,,1,18,59,,,,,
,,,Kolonna,,2024.06.01-02,2,5,,,,,2,1,,,,,
,,,Balangoda,,2024.06.01-02,6,23,,,,,4,,,,,,
,,,Opanayake,,2024.06.01-02,2,7,,,,,2,,,,,,
,,,Weligepola,,2024.06.01-02,2,10,,,,,2,,,,,,
,,,Imbulpe,,2024.06.02,2,6,,,,,,,,,,,
,,,Kahawatta,,2024.06.02,8,26,,,,,7,1,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,13899,52490,5,4,0,12,1777,274,1,20,147,540,
,,,,Cutting Failure,2024.06.02,2,7,,,,,2,,,,,,
,,,,Cutting Failure,2024.06.03,1,3,,,,,1,,,,,,
,,,Warakapola,"Heavy Rain / Cutting
Failure / Tree Fallen /
High wind",2024.06.02,23,81,,4,,,22,10,,,,,"Injured due to Cutting
Failure"
,,,Mawanella,Cutting failure,2024.06.03,1,8,,,,,1,,,,,,
,,,,Cutting failure,2024.06.02,1,2,,,,,1,,,,,,
,,,,Tree Fallen,2024.06.01,2,8,,,,,2,,,,,,
,,,Yatiyantota,Cutting Failure,2024.06.02,1,4,,,,,1,,,,,,
,,,,,2024.06.03,1,5,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Tree fallen,2024.06.02,1,3,,,,,1,,,,,,
,,,Galigamuwa,Cutting Failure,2024.06.04,1,3,,,,,1,,,,,,
,,,,"Heavy Rain / Cutting
Failure / Tree Fallen /
High wind",2024.06.01/02,14,49,,3,,,9,,,1,1,6,Injured due to tree fallen
,,,Yatiyanthota,Tree Fallen,2024.06.01,1,4,,,,,1,,,,,,
,,,,Cutting Failure,,4,17,,,,,4,,,,,,
,,,,Lightning,,1,4,,,,,1,,,,,,
,,,,Tree Fallen,2024.06.04,1,5,,,,,1,,,,,,
,,කෑගල්ල,,Cutting Failure,,1,5,,,,,1,,,,,,
,,Nffhiy,,Tree Fallen,2024.06.01,1,3,,,,,1,,,,,,
,,Kegalle,Kegalle,,2024.06.03,2,5,,,,,2,,,,,,
,,,Dehiovita,"Heavy Rain / Cutting
Failure / Tree Fallen /
High wind/ Lightning",2024.06.02,495,2346,,,,,495,128,,3,67,282,
,,,,Tree Fallen,2024.06.04,1,4,,,,,1,,,,,,
,,,,High Wind,,1,1,,,,,1,,,,,,
,,,,Lightning,,1,4,,,,,1,,,,,,
