,,"ය
ක
ක්
ි
සර
දි",,,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,,"ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","න්
යි
ල
ග
ද්
පු",,,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,"ව
ා
ය
ඛ්‍
ාං
ස",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"න
ටි
සි
ල
ව
රස
ව
ල
නි
ති
ා
ඥ","ේ
වු
ප",,,"ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ","න්
යි
ල
ග
ද්
පු
න
ටි
සි",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ත
ි
න්
ාය
ක්‍රි",,,"න
ළ
ාප",,,,,,,,,,,,,,,,,,,
ගම්පහ,,,,,13,,,"ගංවතුර /
තද
වර්ෂාපත
නය /
දැඩි සුළං
/ නාය
යාම්",,,,,39742,,,,,161383,,,,,,3,,,1,,,,,4,,,193,,,,,18,,,,,,1126,,,,,4811,,,,,361,,,,1450,,,
රත්තනපුර,,,,,08,,,,,,,,1447,,,,,5689,,,,,,3,,,1,,,,,6,,,490,,,,,11,,,,,,67,,,,,242,,,,,703,,,,2716,,,
ලකාළඹ,,,,,09,,,,,,,,16185,,,,,65465,,,,,,1,,,,,,,,,,,29,,,,,51,,,1,,,4902,,,,,21422,,,,,,,,,,,,
පුත්තතලම,,,,,14,,,,,,,,7748,,,,,29049,,,,,,3,,,,,,,,,,,51,,,,,3,,,8,,,21,,,,,89,,,,,4592,,,,18580,,,
කළුතර,,,,,14,,,,,,,,1150,,,,,4476,,,,,,1,,,2,,,1,,2,,,59,,,,,10,,,,,,48,,,,,183,,,,,,,,,,,,
නුවරඑළිය,,,,,01,,,,,,,,70,,,,,301,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,5,,,,,,,,,,,,
කෑගේල,,,,,11,,,,,,,,253,,,,,1059,,,,,,5,,,,,,,,3,,,121,,,,,3,,,,,,12,,,,,54,,,,,54,,,,229,,,
මහනුවර,,,,,04,,,,,,,,10,,,,,35,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
කුරුණෑගල,,,,,13,,,,,,,,1008,,,,,3653,,,,,,0,,,0,,,1,,2,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ගාේල,,,,,01,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,එකතුව,,,,,88,,,,,,,,67613,,,,,271110,,,,,,17,,,5,,,2,,17,,,978,,,,,106,,,,,,6177,,,,,26806,,,,,5710,,,,22975,,
