River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.75,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.81,2.74,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.43,10.35,Normal,,2.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.99,Normal,,13.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.28,1.24,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.69,1.04,Normal,,64.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.11,Normal,,5.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.03,2.01,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.40,6.39,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.65,6.60,Alert,Falling,2.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.89,2.80,Normal,,0.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.15,6.10,Alert,Falling,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.09,4.05,Minor Flood,Falling,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.14,2.14,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.55,1.53,Alert,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.26,4.23,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.21,1.25,Normal,,0.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.95,1.36,Normal,,96.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.13,1.10,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.84,1.79,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.53,1.61,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.91,1.88,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.20,0.19,Normal,,0.5,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.14,1.14,Normal,,0.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.97,0.96,Normal,,2.9,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.28,1.35,Normal,,13.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.34,1.38,Normal,,15.8,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.16,-2.28,Normal,,16.7,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.72,2.65,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.38,Normal,,0.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.75,0.75,Normal,,2.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.75,4.76,Normal,,8.9,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.56,1.52,Normal,,10.5,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.35,2.42,Normal,,10.9,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.99,3.89,Normal,,,26.7,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.94,5.92,Alert,Falling,2.5,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.02,4.89,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.65,3.53,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.32,4.26,Alert,Falling,0.0,,
