River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.52,2.50,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.59,10.55,Normal,,0.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.62,Normal,,1.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.81,0.81,Normal,,5.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.74,0.75,Normal,,10.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.99,Normal,,1.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.32,1.30,Normal,,0.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.54,6.52,Normal,,23.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.42,2.38,Normal,,11.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.10,2.07,Normal,,2.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.82,3.79,Normal,,0.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.65,2.63,Normal,,26.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.99,2.00,Normal,,16.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.76,1.76,Minor Flood,,6.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.01,5.01,Alert,,59.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.53,1.51,Normal,,7.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,0.94,Normal,,14.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.98,0.97,Normal,,21.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.39,1.35,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.93,0.93,Normal,,63.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.83,1.82,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,0.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.08,Normal,,1.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.50,Normal,,37.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.61,0.59,Normal,,29.7
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.49,-0.39,Normal,,52.4
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.65,0.75,Normal,,52.4
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.66,-2.70,Normal,,17.1
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.05,3.16,Normal,,7.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.36,1.34,Normal,,5.7
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.68,0.68,Normal,,38.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,5.65,5.55,Normal,,57.5
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.09,1.03,Normal,,154.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.91,0.90,Normal,,8.7
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.27,Normal,,41.4
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.57,1.57,Normal,,0.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.92,2.92,Normal,,0.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.59,Normal,,15.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.34,2.30,Normal,,2.5
