River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level 2
Rising or i
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.35,3.35,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.14,6.15,Normal,,20.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.50,14.27,Normal,,23.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,2.05,Normal,,75.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.32,2.21,Normal,,71.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.91,Normal,,45.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.40,1.39,Normal,,15.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.68,1.68,Normal,,5.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.20,8.18,Normal,,55.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.42,4.31,Normal,,14.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.54,1.54,Normal,,1.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.64,3.61,Normal,,7.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.54,1.53,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.76,1.78,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.48,1.47,Alert,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.05,4.99,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.45,1.44,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.02,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.75,2.74,Alert,Falling,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.98,2.94,Normal,,2.7
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.55,1.54,Normal,,32.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.20,3.15,Normal,,7.4
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,3.20,3.20,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.54,1.53,Normal,,15.3
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.18,1.15,Normal,,15.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.96,0.96,Normal,,11.1
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.41,0.41,Normal,,1.4
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.59,1.55,Normal,,1.4
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.56,-1.79,Normal,,19.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.50,4.39,Normal,,24.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.70,1.69,Normal,,49.9
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.97,0.94,Normal,,48.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.55,6.55,Alert,,55.8
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.21,1.17,Normal,,40.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.72,3.98,Normal,,45.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.39,4.43,Normal,,69.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.99,6.00,Minor Flood,Rising,11.8
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,7.90,8.03,Minor Flood,Rising,45.9
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,7.70,7.18,Minor Flood,Falling,52.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.52,3.48,Alert,Falling,38.0
