River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,0.85,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.29,2.26,Normal,,8.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.42,10.39,Normal,,29.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,30.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.42,0.39,Normal,,14.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.26,1.25,Normal,,42.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.60,0.60,Normal,,14.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.02,1.97,Normal,,13.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.30,6.25,Normal,,15.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.98,1.94,Normal,,2,1.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.93,2.90,Normal,,13.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.42,6.36,Alert,Falling,7.1,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.04,2.04,Normal,,14.7,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.84,2.81,Normal,,10.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.20,1.17,Normal,,28.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.07,4.06,Normal,,6.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.88,Normal,,0.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.21,0.21,Normal,,7.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.78,0.79,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.37,0.40,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.73,0.73,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.34,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.79,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.43,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.27,0.27,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.12,-1.12,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.02,0.02,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.87,-2.87,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.38,1.38,Normal,,1.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.30,1.26,Normal,,29.8,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.32,0.36,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,,
"Maa Oya
(RB 69)",Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.05,1.06,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.14,0.15,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.23,0.24,Normal,,4.4,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.13,2.17,Normal,,13.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.25,1.26,Normal,,45.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.91,0.91,Normal,,6.7,,
