Province,District,09th Jan.,,,10th Jan.,,,11th Jan.
Northern,Mullaittivu,,Showers or,,,Showers or,,"Several spells of
showers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Heavy,,,at times ;Fairly,,
,,,rainfall above,,,heavy rainfall,,
,,,100 mm at some,,,about 50 mm at,,
,,,places,,,some places,,
,Jaffna,,Showers or,,,Showers or,,"Several spells of
showers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Heavy,,,at times ; Heavy,,
,,,rainfall above,,,rainfall above,,
,,,100 mm at some,,,100 mm at some,,
,,,places,,,places,,
