River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
p.m.",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.95,2.70,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.75,4.66,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.60,11.55,Normal,,0.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.10,Normal,,0.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.36,1.34,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.88,0.89,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.21,Normal,,1.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.19,2.16,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,6.98,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.82,2.75,Normal,,0.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.14,3.08,Normal,,,,9.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.92,5.90,Alert,Falling,0.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.77,2.75,Normal,,0.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.30,2.27,Normal,,0.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.89,1.88,Minor Flood,Falling,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.57,5.56,Alert,Falling,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.83,1.90,Normal,,28.6,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.17,2.02,Normal,,17.,,,2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.70,2.70,Alert,,,4.9,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.82,1.82,Normal,,24.6,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.86,3.60,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.31,4.22,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.08,3.03,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.96,4.93,Minor Flood,Falling,0.0,,,,
