River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.20,1.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.36,3.31,Normal,,40.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.90,10.90,Normal,,16.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.62,1.50,Normal,,43.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.76,0.78,Normal,,10.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.02,Normal,,19.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.83,0.83,Normal,,7.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.63,2.70,Normal,,4.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.90,7.86,Normal,,21.5
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.37,3.34,Normal,,24.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.21,3.18,Normal,,27.6
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.80,6.77,Minor Flood,Falling,19.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.41,2.38,Normal,,1.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.03,2.03,Normal,,11.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.74,0.68,Normal,,8.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.12,3.12,Normal,,16.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.96,0.94,Normal,,1.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.47,0.46,Normal,,15.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.15,Normal,,0.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.20,1.20,Normal,,6.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.19,1.20,Normal,,19.5
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.51,1.51,Normal,,14.9
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.15,0.15,Normal,,2.4
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.86,0.86,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,2.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.27,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.50,0.48,Normal,,11.3
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.06,-3.08,Normal,,1.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.72,1.70,Normal,,10.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.27,1.25,Normal,,2.8
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.42,0.43,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.03,2.02,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.69,0.69,Normal,,20.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.70,3.68,Normal,,16.5
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.84,1.84,Normal,,12.6
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.49,1.40,Normal,,3.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.04,Normal,,5.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.88,1.88,Normal,,23.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.14,3.10,Normal,,46.9
