දිනය : 2026-04-21,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,24,95,45,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
මඩකලපුව,34,26,90,65,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
යකාළඹ,34,26,90,60,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
ගාල්ල,32,26,90,70,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
යාපනය,35,27,70,50,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
ම නුවර,33,23,95,60,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
නුවරඑළිය,24,12,65,50,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
රත්නපුරය,36,25,95,50,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
ිකුණාමලය,36,27,90,55,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
මන්නාරම,34,27,90,65,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි ය ෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති යේ
