River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.95,2.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.09,5.04,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.68,12.58,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.10,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.49,1.45,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,0.98,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.52,1.48,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.39,1.40,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.14,7.15,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.47,4.39,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.07,1.98,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.18,4.14,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.46,2.43,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.94,1.91,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.20,1.22,Normal,,4.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.54,4.52,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.55,1.62,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.19,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.30,4.26,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.95,5.89,Alert,Falling,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.00,5.12,Alert,Rising,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.51,4.38,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.97,5.00,Minor Flood,Rising,0.0
