River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.25,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.62,3.57,Normal,,0.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.24,11.18,Normal,,60.3,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.83,1.81,Normal,,3.1,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.91,Normal,,10.5,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.08,1.11,Normal,,11.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.93,Normal,,16.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.14,2.10,Normal,,0.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,6.97,Normal,,4.7,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.55,2.48,Normal,,11.6,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.41,2.38,Normal,,20.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.67,5.61,Alert,Falling,15.2,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.34,2.32,Normal,,16.2,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.52,4.50,Minor Flood,Falling,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.50,2.49,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.98,5.97,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.82,1.82,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.06,1.05,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.60,0.62,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.68,0.63,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.62,0.62,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.67,1.60,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.31,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,1.3,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.23,0.22,Normal,,2.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.22,0.22,Normal,,9.3,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.22,-1.22,Normal,,54.2,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.08,-0.08,Normal,,54.2,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.06,-3.07,Normal,,2,7.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.88,2.90,Normal,,45.6,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.53,1.51,Normal,,11.7,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.49,0.47,Normal,,34.,,4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.62,1.62,Normal,,52.3,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,4.7,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.30,0.30,Normal,,7.3,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.00,0.00,Normal,,15.7,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.01,0.01,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.95,3.93,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.85,2.68,Normal,,2.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.46,2.44,Normal,,1.0,,,
