River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF
in mm at
6.00 pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.85,4.80,Alert,Falling,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.26,8.25,Minor Flood,Falling,0.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.55,16.36,Alert,Falling,0.6,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.57,2.58,Normal,,3.,,,5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.79,1.74,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.78,1.90,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.94,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.97,2.98,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.10,9.12,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.32,5.23,Alert,Falling,0.6,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.21,5.18,Alert,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.50,7.54,Minor Flood,Rising,0.0,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.46,2.45,Normal,,0.5,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.89,2.89,Normal,,4.2,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.05,1.05,Normal,,0.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.55,4.48,Normal,,2,,.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.40,1.37,Normal,,,1.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.66,0.65,Normal,,6.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.85,6.40,Minor Flood,Falling,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.80,3.66,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.04,5.03,Minor Flood,Falling,0.0,,,,
