River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.31,2.64,Normal,,22,.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.53,11.86,Normal,,34.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,25,.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.30,1.28,Normal,,2.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.99,2.28,Normal,,20,.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.83,Normal,,9.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.07,1.10,Normal,,5.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.58,6.88,Normal,,44.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.02,6.19,Alert,Rising,45.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.22,3.25,Normal,,2.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.44,4.53,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.80,2.83,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.40,2.34,Normal,,2.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.68,0.84,Normal,,2.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.40,4.44,Normal,,2.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.49,1.49,Normal,,7.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.39,0.38,Normal,,0.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.84,0.84,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.39,0.39,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.68,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.14,1.14,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.17,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.39,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.08,-0.10,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.38,-3.38,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.35,2.60,Normal,,6.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.61,2.58,Normal,,21,.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.18,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.30,1.30,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.02,1.02,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.25,0.25,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.07,0.07,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.29,2.30,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.16,1.17,Normal,,1.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.76,1.78,Normal,,2.4,,
