River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water
Level
Rising or
Falling","06 Hr RF
in mm at
03.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.90,3.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.75,4.67,Normal,,1.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.50,11.45,Normal,,7.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.72,1.75,Normal,,11.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.10,1.05,Normal,,5.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.25,1.18,Normal,,11.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.89,Normal,,15.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.16,3.17,Alert,Rising,14.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.49,8.49,Normal,,5.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.91,3.92,Normal,,23.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.48,4.50,Alert,Rising,3.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.51,7.52,Minor Flood,Rising,18.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.91,3.92,Alert,Rising,10.8,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.87,2.87,Normal,,12.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.53,Alert,,13.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.09,5.11,Alert,Rising,7.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.62,Normal,,11.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.83,0.85,Normal,,9.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.13,1.13,Normal,,2.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.56,0.56,Normal,,1.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.82,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,3.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,2.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.89,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.56,0.56,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.45,0.44,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.71,0.74,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.12,-2.23,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.73,1.72,Normal,,5.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.43,Normal,,14.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.43,0.43,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.91,1.91,Normal,,4.2,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.48,1.47,Normal,,6.2,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.64,0.68,Normal,,20.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.72,2.72,Normal,,6.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.50,3.44,Normal,,1.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.20,2.16,Normal,,6.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.20,4.19,Alert,Falling,1.2,
