දිනය : 2026-06-21,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,90,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,34,26,85,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,26,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,27,80,75,වැසි වාර කිහිපයක්
යාපනය,32,25,90,60,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,29,21,90,60,වැසි වාර කිහිපයක්
නුවරඑළිය,21,12,90,60,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,30,22,95,85,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,36,25,85,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,27,85,75,ප්‍රධාන වශහයන් වැසි රහිත
