River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.45,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.46,4.34,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.78,11.69,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.21,Normal,,1.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.90,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.36,1.33,Normal,,0.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.94,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.51,3.52,Alert,Rising,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.00,10.00,Alert,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.94,4.86,Normal,,1.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.22,4.13,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.15,8.14,Major Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.98,1.98,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.87,3.83,Alert,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.11,1.08,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.21,4.11,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.86,0.86,Normal,,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.28,0.27,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.43,2.36,Normal,,0.0,,
