දිනය : 2026-02-06,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,23,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,90,75,විටින් විට වැසි
කකාළඹ,32,24,90,60,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
ගාල්ල,29,24,90,75,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
යාපනය,28,22,95,70,වැසි වාර කිහිපයක්
ම නුවර,27,21,90,65,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,18,14,95,70,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
රත්නපුරය,33,22,95,65,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,29,23,90,70,විටින් විට වැසි
මන්නාරම,28,25,90,70,සිහින් වැසි වාර කිහිපයක්
