ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -19,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,22,95,80,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,85,විටින් විට වැසි
හකාළඹ,30,24,90,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ොල්ල,29,24,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,29,23,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ම නුවර,27,22,95,80,වැසි වාර කිහිපයක්
නුවරඑළිය,18,14,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,33,23,95,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,29,25,90,80,විටින් විට වැසි
මන්නාරම,29,23,90,75,වැසි සරවල්පයක්
