River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,3.15,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.17,6.12,Normal,,158.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.41,13.22,Normal,,179.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.59,1.63,Normal,,67.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.30,1.30,Normal,,75.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.50,1.46,Normal,,113.,4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.93,Normal,,47.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.78,2.80,Normal,,30.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.69,8.69,Normal,,76.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.77,4.72,Normal,,40.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.80,4.78,Alert,Falling,85.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.89,6.93,Minor Flood,Rising,54.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.30,3.30,Normal,,30.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.60,2.55,Normal,,58.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.02,1.02,Normal,,34.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.20,4.26,Normal,,41.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.35,Normal,,34.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.57,0.57,Normal,,25.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.16,1.16,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.38,1.37,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.18,1.18,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.55,1.54,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.84,0.84,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.97,0.97,Normal,,1.6,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.46,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.28,0.28,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.49,0.47,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.02,-3.05,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.19,2.18,Normal,,47.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.55,Normal,,32.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.55,0.57,Normal,,0.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.91,2.95,Normal,,70.9,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.77,0.76,Normal,,14.6,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.82,3.88,Normal,,3.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.43,3.50,Normal,,70.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.72,3.78,Normal,,83.6,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.66,4.62,Normal,,113.,7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.59,3.51,Normal,,167.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.72,4.72,Minor Flood,,180.0,
