දිනය : 2026-04-08,,,,,
නගරය,උෂණ් ත්වය(යෙ. අංශක),,ොයේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,24,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,33,26,90,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
හකාළඹ,34,29,85,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,29,85,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,31,26,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,31,20,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,23,14,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,33,23,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,25,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,25,90,75,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
