River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,7.35,7.30,Major Flood,Falling,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.58,7.50,Alert,Falling,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.47,11.45,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.18,2.12,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.28,1.28,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.12,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.16,1.15,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.89,3.86,Alert,Falling,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.05,9.96,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.97,3.89,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.01,1.98,Normal,,1.8
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.26,6.20,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.73,1.71,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.84,1.83,Normal,,5.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.65,0.64,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.11,3.11,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.98,0.98,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.61,0.61,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.78,1.78,Normal,,78.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.37,1.36,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.23,1.23,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.79,1.78,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.47,0.56,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.56,1.55,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.15,1.15,Normal,,1.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.89,0.89,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,2.87,Normal,,NA
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,NA
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,NA
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.69,1.68,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,NA
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.89,4.81,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.01,1.01,Normal,,1.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,8.77,8.64,Major Flood,Falling,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.22,3.20,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,NA
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.64,3.62,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.56,NA,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.87,2.84,Normal,,0.0
