River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.80,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.26,2.21,Normal,,,29.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.92,10.00,Normal,,16.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.85,Normal,,9.3,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.58,3.08,Alert,Rising,,44.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.93,Normal,,7.8,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.71,1.75,Alert,Rising,,49.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.41,2.41,Normal,,13.7,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.47,6.44,Normal,,5.4,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.79,2.95,Normal,,12.9,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.55,3.53,Normal,,15.8,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.84,6.82,Minor Flood,Falling,,28.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.29,4.30,Minor Flood,Rising,1.0,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.33,2.32,Normal,,2.3,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.69,1.69,Alert,,58.,,6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.21,Alert,Falling,8.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.43,1.40,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.08,Normal,,1.5,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.29,1.29,Normal,,10.5,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.80,2.94,Normal,,,32.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.58,2.46,Normal,,86.3,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.57,3.77,Normal,,12.9,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.19,0.20,Normal,,16.1,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.04,1.20,Normal,,19.6,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.16,2.61,Normal,,67.1,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.19,1.15,Normal,,17.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.56,1.50,Normal,,5.9,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.65,-2.72,Normal,,7.2,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.70,3.82,Normal,,,38.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.75,1.81,Normal,,,33.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.76,0.80,Normal,,,38.1,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,3.21,3.26,Normal,,15.3,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.20,1.20,Normal,,8.1,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.76,1.76,Normal,,18.2,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.97,5.98,Alert,Rising,7.9,,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.88,3.92,Normal,,13.8,,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.34,4.10,Normal,,99.2,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.64,4.66,Minor Flood,Rising,,43.4,,,
