River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.00,3.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.72,5.72,Normal,,18.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.65,12.71,Normal,,31,.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.16,Normal,,21.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.16,Normal,,1.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.32,2.27,Normal,,57.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,6.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.31,4.31,Minor Flood,,40.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.47,10.45,Alert,Falling,16.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.50,5.49,Alert,Falling,19.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.96,3.90,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.68,8.66,Major Flood,Falling,26.3,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.80,2.79,Normal,,0.9,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.69,4.67,Minor Flood,Falling,5.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.28,2.28,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.12,6.11,Minor Flood,Falling,9.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,2.08,Normal,,13.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.34,1.35,Normal,,2.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.59,3.57,Normal,,2.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.36,2.32,Normal,,0.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.44,4.42,Minor Flood,Falling,8.4,,
