River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.50,4.80,Alert,Rising,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.42,8.52,Minor Flood,Rising,196.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.40,16.46,Alert,Rising,108.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,1.91,Normal,,111.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.28,Normal,,2.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.58,3.16,Normal,,215.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.95,Normal,,1.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.75,3.81,Alert,Rising,33.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.04,12.06,Minor Flood,Rising,457.9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.22,8.22,Minor Flood,,180.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,7.05,7.10,Minor Flood,Rising,162.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.36,8.55,Major Flood,Rising,149.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.17,4.22,Minor Flood,Rising,92.5
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,7.22,7.44,Minor Flood,Rising,234.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.74,1.75,Minor Flood,Rising,62.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.15,7.20,Minor Flood,Rising,154.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,7.45,7.36,Major Flood,Falling,192.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.71,2.55,Alert,Falling,195.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.24,1.27,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.26,0.26,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.61,0.61,Normal,,1.1
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.27,1.28,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.23,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.84,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.35,0.35,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.18,0.19,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.93,-2.98,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.65,2.60,Normal,,1.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.63,1.61,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.32,0.31,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.53,1.53,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.98,1.00,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.22,0.22,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.75,0.75,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.75,2.75,Normal,,25.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.68,1.73,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.10,3.12,Normal,,61.1
