River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.99,Normal,,65.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.75,11.60,Normal,,41.3
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.63,1.37,Normal,,106.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.76,Normal,,31.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.21,1.23,Normal,,70.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.75,0.75,Normal,,10.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.89,1.95,Normal,,119.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.03,7.06,Normal,,56.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.60,2.57,Normal,,24.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.82,4.91,Alert,Rising,29.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.07,5.09,Alert,Rising,81.1
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.68,2.67,Normal,,33.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.39,3.43,Normal,,127.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.66,1.68,Alert,Rising,43.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.72,5.77,Alert,Rising,38.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.42,2.37,Normal,,67.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.65,1.62,Normal,,58.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.55,0.55,Normal,,3.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.01,-0.02,Normal,,40.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.66,Normal,,8.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.31,Normal,,13.5
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.21,Normal,,4.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.86,Normal,,37.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.20,Normal,,25.9
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.08,0.09,Normal,,12.2
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.43,1.43,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.29,-0.29,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.12,-3.17,Normal,,3.5
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.15,Normal,,2.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.66,1.66,Normal,,6.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.46,0.31,Normal,,6.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.41,1.41,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.32,0.32,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.10,-0.10,Normal,,0.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.06,-0.06,Normal,,33.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.40,2.41,Normal,,21.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.19,1.19,Normal,,27.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.72,2.71,Normal,,50.3
