River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.95,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.96,Normal,,19.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.52,11.41,Normal,,23.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.59,1.59,Normal,,34.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.10,Normal,,11.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.09,1.00,Normal,,25.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.99,Normal,,7.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.09,2.05,Normal,,47.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.23,7.20,Normal,,48.3
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.69,2.67,Normal,,22.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.90,2.95,Normal,,46.9
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.84,4.85,Normal,,44.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.35,3.34,Normal,,25.2
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.84,1.83,Normal,,26.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.72,0.68,Normal,,19.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.24,3.21,Normal,,30.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.81,0.78,Normal,,8.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.16,0.15,Normal,,11.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.81,0.81,Normal,,7.5
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.15,1.11,Normal,,0.6
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.13,0.12,Normal,,1.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.09,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.56,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.54,0.54,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.43,-1.42,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.60,Normal,,14.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.49,1.48,Normal,,15.7
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.47,0.44,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.67,1.66,Normal,,0.8
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.72,0.72,Normal,,4.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.28,2.16,Normal,,14.3
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.47,Normal,,4.2
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.38,2.35,Normal,,8.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.70,3.70,Normal,,40.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.65,2.58,Normal,,28.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.90,1.86,Normal,,14.4
