River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,1.25,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.31,2.26,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.95,9.94,Normal,,0.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.76,0.76,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.63,0.69,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.17,2.17,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.39,6.35,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.21,2.15,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.45,4.38,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.67,7.67,Minor Flood,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.07,4.06,Minor Flood,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.38,2.37,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.25,2.25,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.00,5.98,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.57,1.58,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.06,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.80,1.80,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.85,2.90,Normal,,20.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.67,Normal,,1.5
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.43,1.43,Normal,,1.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.70,1.69,Normal,,0.5
