தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
"பபன்ாித் பபருந்மதாட்ைம், அவிசாவலள",தைரழும்பு,175.0
பவயாங்பகாலை,ைம்பஹர,162.0
கிாிந்திபவை,ைம்பஹர,157.0
பம்மபகே பபருந்மதாட்ைம்,லைைரக,135.0
தல்துவ,லைைரக,131.0
ோலிபபாை,லைைரக,125.5
