River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.65,3.65,Normal,,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.06,7.34,Alert,Rising,144.1,,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.42,15.91,Alert,Rising,194.4,,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.56,2.55,Normal,,8,,,9.9,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,4.40,4.43,Minor Flood,,157.1,,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,5.03,4.60,Normal,,194.7,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.06,Normal,,,35.7,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.15,3.19,Alert,Rising,9,,,2.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.31,9.38,Normal,,116,,,,.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.55,6.73,Alert,Rising,8,,,5.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.45,5.55,Alert,Rising,113,,,,.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.77,6.85,Minor Flood,Rising,9,,,4.8,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.06,5.19,Alert,Rising,123,,,,.1,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.14,3.17,Normal,,,27.4,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.84,0.84,Normal,,,24.4,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.34,4.53,Normal,,,35.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.88,2.10,Normal,,,,57.7,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.68,Normal,,,42.8,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.85,Normal,,,25.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.01,3.38,Normal,,,,67.4,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.54,4.65,Minor Flood,Rising,114,,,,.0,,
