ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -12,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,27,23,95,85,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,30,25,95,80,වැසි වාර කිහිපයක්
හකාළඹ,31,25,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,24,90,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,28,25,95,80,විටින් විට වැසි
ම නුවර,27,21,95,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,18,13,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,31,23,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,29,24,95,80,විටින් විට වැසි
මන්නාරම,27,24,95,80,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
