දින්‍ය : 2026-06-11,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,27,90,65,වැසි ස්වල්පයක්
මඩකලපුව,34,26,75,65,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
හකාළඹ,30,26,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,29,26,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,27,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,28,24,90,75,විටින් විට වැසි
නුවරඑළිය,19,16,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,31,24,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,32,26,85,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,31,27,85,70,වැසි ස්වල්පයක්
