River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,1.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.95,1.95,Normal,,32.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.10,10.12,Normal,,13.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.79,1.58,Normal,,21.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.62,0.62,Normal,,27.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.78,Normal,,31.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.62,0.61,Normal,,2.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.60,0.60,Normal,,18.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.44,5.44,Normal,,19.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.65,1.60,Normal,,7.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.46,2.41,Normal,,10.3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.32,3.35,Normal,,18.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.35,1.39,Normal,,8.8
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.84,1.89,Normal,,14.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.50,0.53,Normal,,3.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.46,3.58,Normal,,23.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.21,Normal,,22.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.64,Normal,,24.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.95,0.95,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.16,0.16,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.25,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.21,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.31,0.31,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.28,0.25,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.04,-0.03,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.00,-3.03,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.57,1.65,Normal,,5.8
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.15,1.15,Normal,,18.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.31,0.29,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.44,0.44,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.97,0.97,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.16,0.16,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.52,0.52,Normal,,30.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.41,2.43,Normal,,11.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.29,1.29,Normal,,22.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.54,1.64,Normal,,46.8
