දින්‍ය : 2026-04-17,,,,,
න්‍ගරය,උෂ්ණත්වය(ප්‍රස. අංශ්‍ක),,සාප්‍රේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,36,25,95,55,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,34,26,90,50,වැසි ස්වල්පයක්
හකාළඹ,33,27,90,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,27,90,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,35,26,85,65,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,32,22,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,24,12,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,35,24,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,25,90,65,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,34,27,90,65,ප්‍රධාන වශහයන් වැසි රහිත
