දිනය : 2026-02-25,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,23,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,30,24,95,75,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,24,90,65,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,25,90,80,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,22,95,75,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,21,95,65,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,13,85,50,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,34,23,95,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,30,24,90,75,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,30,24,95,70,ප්‍රධාන වශයයන් වැසි රහිත
