River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.95,4.86,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.06,11.96,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.05,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.35,1.33,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.05,1.02,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.14,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.16,2.17,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.73,7.70,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.76,2.71,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.49,2.44,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.83,5.82,Alert,Falling,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.23,2.21,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.21,2.19,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.82,1.82,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.71,5.65,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,1.74,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.20,1.17,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.82,2.79,Alert,Falling,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.99,1.99,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.10,6.09,Minor Flood,Falling,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.83,4.70,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.50,3.42,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.18,5.19,Minor Flood,Rising,0.0
