River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.15,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.42,1.39,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.30,9.25,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.48,1.48,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.46,0.45,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.58,0.53,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.64,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.68,0.61,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.10,5.09,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.15,1.13,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.47,1.49,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.51,2.48,Normal,,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.62,1.60,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.90,1.85,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.17,1.19,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.03,3.90,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.17,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.62,0.62,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.00,1.00,Normal,,18.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.00,0.98,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.72,1.71,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.69,0.71,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.04,1.04,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.61,0.61,Normal,,0.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.31,0.31,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.44,-0.41,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.70,0.76,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.80,-1.90,Normal,,1.0
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.35,1.38,Normal,,0.0
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.79,0.79,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.48,0.48,Normal,,1.8
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.66,0.70,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.84,1.84,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.44,0.44,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.28,1.27,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.19,0.18,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.57,0.58,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.45,2.44,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.20,1.19,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.37,1.36,Normal,,0.0
