River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.05,3.10,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.03,6.19,Normal,,,41.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.59,14.97,Normal,,66.5,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,3.25,3.80,Alert,Rising,102.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,4.70,5.23,Major Flood,,87.7,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,4.17,5.23,Alert,,71.7,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,1.10,Normal,,,26.8,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.40,2.45,Normal,,,20.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.10,8.16,Normal,,85.9,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.93,4.58,Normal,,,39.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.90,5.15,Alert,Rising,,45.7,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.03,6.06,Alert,Rising,,28.5,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.72,3.85,Normal,,,14.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.31,2.32,Normal,,2.7,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.73,0.73,Normal,,3.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.68,3.72,Normal,,,15.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,1.80,Normal,,,33.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,1.55,Normal,,86.3,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.36,4.46,Minor Flood,Rising,55,,.0,,
