River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.23,3.22,Normal,,,25.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.29,10.28,Normal,,,35.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.68,Normal,,,30.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.52,2.78,Normal,,82.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,0.81,Normal,,,15.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.04,Normal,,5.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.88,1.86,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.67,6.90,Normal,,53.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.45,2.50,Normal,,,16.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.80,3.72,Normal,,1.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.21,5.21,Alert,,,31.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.85,2.84,Normal,,,34.2,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.03,2.06,Normal,,4.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.64,1.64,Alert,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.49,4.46,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.44,1.43,Normal,,8.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.97,0.96,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.60,5.65,Alert,Rising,0.0,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.57,3.56,Normal,,,39.1,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.19,2.27,Normal,,,18.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.36,3.34,Alert,Falling,,20.0,
