"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
,,,Minuwangoda,High Wind,2020.07.20,9,34,,,,,9,,,,,,
,,,Aththanagalla,Tree Fallen,2020.07.20,4,14,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,42,173,1,0,0,0,40,2,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,508,2240,3,1,0,2,70,2,0,0,0,0,
"වයඹ පලාත
tlNky;
khfhzk; North
Western",5,"පුත්තලම
Gj;jsk;
Puttalam",Wennappuwa,High Wind / Rain,2020.07.20,41,163,,,,,1,,,,,,
,,,Madampe,,,1,4,,,,,1,,,,,,
,,,Chilaw,,,3,12,,,,,3,,,,,,
,,,Mundalama,,,1,3,,,,,1,,,,,,
,,,Nattandita,High Wind,2020.07.21,6,20,,,,,5,,,,,,
,,,Kalpitiya,,2020.07.20,2,12,,,,,2,,,,,,
,,,Mahawewa,,,1,4,,,,,1,,,,,,
,,,Wanathawilluwa,,2020.07.21,1,4,,,,,1,,,,,,
,,,Nawagaththegama,,2020.07.20,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,57,224,0,0,0,0,16,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,57,224,0,0,0,0,16,0,0,0,0,0,
