River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.20,5.20,Minor Flood,,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.12,8.17,Minor Flood,Rising,144.1,,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.42,16.38,Alert,Falling,195.1,,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.94,Normal,,9,,,3.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.13,2.02,Normal,,160.2,,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.09,1.97,Normal,,200.4,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.08,Normal,,,38.6,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.41,3.43,Alert,Rising,9,,,2.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.58,9.59,Normal,,116,,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.77,6.73,Alert,Falling,8,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.09,6.14,Minor Flood,Rising,113,,,,.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.21,7.29,Minor Flood,Rising,9,,,4.8,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.17,4.99,Alert,Falling,129,,,,.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.45,3.47,Normal,,,39.2,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.13,1.17,Normal,,,34.1,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.55,5.53,Alert,Falling,,45.2,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.15,2.10,Normal,,,,67.1,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.98,Normal,,,46.2,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.37,4.43,Normal,,,25.7,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.95,3.77,Normal,,,,68.6,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.11,5.16,Minor Flood,Rising,126,,,,.1,,
