දිනය : 2026-08-12,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,26,85,50,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,26,90,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,31,27,85,70,වැසි වාර කිහිපයක්
ගාල්ල,29,26,95,80,විටින් විට වැසි
යාපනය,33,27,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,22,95,75,වැසි වාර කිහිපයක්
නුවරඑළිය,19,15,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,31,25,95,75,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,36,26,85,45,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,30,26,85,75,ප්‍රධාන වශයයන් වැසි රහිත
