"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 26th August 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌෙ
Cth khfhzk;
Uva",1,"ම ොනරොගල
nkhdwhfiy
Moneragala",Siyabalanduwa,"Heavy Rain and High
Wind",2025.08.22,80,311,,1,,,80,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,80,311,0,1,0,0,80,0,0,0,0,0,
,පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,80,311,0,1,0,0,80,0,0,0,0,0,
"දකුණු පලොත
njd; khfhzk;
Southern",2,,Thissamaharama,High Wind,2025.08.13,1,4,,,,,1,,,,,,
,,,,,2025.08.17,1,4,,,,,1,,,,,,
,,හම්බනමතොට,,,2025.08.19,1,4,,,,,1,,,,,,
,,`k;ghe;Njhl;il,Ambalantota,High Wind,2025.08.16,1,3,,,,,1,,,,,,
,,Hambantota,Agunakolapelessa,High Wind,2025.08.16,1,4,,,,,1,,,,,,
,,,Hambantota,Fire,2025.08.18,1,5,,,,,1,,,,,,
,,,Katuwana,High Wind,2025.08.19,1,2,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,7,26,0,0,0,0,7,0,0,0,0,0,
,පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,7,26,0,0,0,0,7,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,87,337,0,1,0,0,87,0,0,0,0,0,
ආපදො කළ නොකරණ ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇ තුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
