දිනය : 2026-03-31,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,24,85,40,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,25,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,26,85,70,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,32,25,90,70,සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,25,80,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,21,95,55,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,23,10,80,35,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,36,24,90,60,සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,33,24,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,34,25,85,65,ප්‍රධාන වශයයන් වැසි රහිත
