பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 3 1,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,35,24,85,40,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,32,25,90,65,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,26,85,70,பிரதானமாக சீரான வானிலை
காலி,32,25,90,70,"பி.ப. 4.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,34,25,80,65,பிரதானமாக சீரான வானிலை
கண்டி,33,21,95,55,பிரதானமாக சீரான வானிலை
நுவவரலியா,23,10,80,35,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,36,24,90,60,"பி.ப. 4.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
திருககாணமலை,33,24,90,60,பிரதானமாக சீரான வானிலை
மன்னார்,34,25,85,65,பிரதானமாக சீரான வானிலை
