ප්‍රධාන නගර සදො කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -01,,,,,
නගරය,උෂණ් ත්වය(හස. අංශක),,සාහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,24,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,75,විටින් විට වැසි
වකාළඹ,30,24,95,60,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වව්න
ගාල්ල,29,25,95,75,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,24,90,65,වැසි වාර කිහිපයක්
මහනුවර,29,20,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,20,12,95,65,වැසි වාර කිහිපයක්
රත්නපුරය,34,23,95,60,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වව්න
ිකුණාමලය,29,24,95,75,විටින් විට වැසි
මන්නාරම,29,24,90,75,වැසි වාර කිහිපයක්
