River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.40,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.31,4.23,Normal,,0.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.45,11.41,Normal,,1.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.49,1.79,Normal,,2.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.16,1.15,Normal,,6,.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.07,Normal,,0.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.99,Normal,,1.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.43,2.43,Normal,,7,.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.04,8.02,Normal,,4.4,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.25,3.18,Normal,,4.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.61,Normal,,3.6,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.91,5.91,Alert,,2.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.91,2.88,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.80,2.05,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.83,0.82,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.25,3.23,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.77,0.77,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.25,0.26,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.90,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.90,0.87,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.89,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.19,1.19,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.51,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.32,0.28,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.93,-2.06,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.20,Normal,,2.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.51,1.57,Normal,,11,.7
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.33,0.32,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.49,1.49,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,8,.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.88,1.90,Normal,,18.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.67,0.67,Normal,,1.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.36,4.25,Normal,,3.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.80,3.77,Normal,,1.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.66,2.60,Normal,,10,.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.58,2.54,Normal,,10,.8
