Weather Forecast for Main Cities,,,,Date :,21-Aug-2026
City,Temperature (0C),,"Relative Humidity
(%)",,Weather
,Max,Min,Max,Min,
Anuradhapura,35,26,90,50,Mainly fair
Batticaloa,34,26,85,60,Showers or thundershowers are likely after 2.00p.m
Colombo,31,27,90,70,Several spells of showers
Galle,29,26,90,80,Several spells of showers
Jaffna,33,27,90,65,Mainly fair
Kandy,29,22,95,60,Several spells of showers
Nuwara-Eliya,19,14,95,75,Several spells of showers
Ratnapura,31,25,95,70,Several spells of showers
Trincomalee,37,27,80,40,Mainly fair
Mannar,31,27,85,70,Mainly fair
,,,,,
,,,,දිනය :,2026-08-21
නගරය,"උෂ්ණත්වය(සෙ.
අංශක)",,"ොසේක්ෂ
ආර්ද්‍රතාවය(%)",,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධපුරය,35,26,90,50,ප්‍රධොන වශවයන වැසි රහිත
ඩකලපුව,34,26,85,60,"සවස 2.00න පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය
හැක"
වකොළඹ,31,27,90,70,වැසි වොර කිහිපයක්
ගොල්ල,29,26,90,80,වැසි වොර කිහිපයක්
යොපනය,33,27,90,65,ප්‍රධොන වශවයන වැසි රහිත
හනුවර,29,22,95,60,වැසි වොර කිහිපයක්
නුවරඑළිය,19,14,95,75,වැසි වොර කිහිපයක්
රත්නපුරය,31,25,95,70,වැසි වොර කිහිපයක්
ත්‍රිකුණො ලය,37,27,80,40,ප්‍රධොන වශවයන වැසි රහිත
නනොර,31,27,85,70,ප්‍රධොන වශවයන වැසි රහිත
,,,,,
"பிரதான நகரங்களுக்கான வானிலை
முன்னறிவித்தல்",,,,திகதி :,2026-08-21
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,35,26,90,50,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,34,26,85,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது
இடியுடன் கூடிய மலை பபய்யும் சாத்தியம்"
வகாழும்பு,31,27,90,70,அடிக்கடி மலை பபய்யும்
காலி,29,26,90,80,அடிக்கடி மலை பபய்யும்
யாழ்ப்பாணம்,33,27,90,65,பிரதானமாக சீரான வானிலை
கண்டி,29,22,95,60,அடிக்கடி மலை பபய்யும்
நுவவரலியா,19,14,95,75,அடிக்கடி மலை பபய்யும்
இரத்தினபுரி,31,25,95,70,அடிக்கடி மலை பபய்யும்
திருககாணமலை,37,27,80,40,பிரதானமாக சீரான வானிலை
மன்னார்,31,27,85,70,பிரதானமாக சீரான வானிலை
