River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.95,2.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.43,3.36,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.04,10.97,Normal,,0.3,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.83,Normal,,6.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.80,Normal,,0.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.07,1.06,Normal,,0.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.21,1.21,Normal,,0.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.21,2.23,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.18,8.20,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.92,5.78,Alert,Falling,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.92,3.88,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.81,5.81,Alert,,0.1,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.22,4.22,Minor Flood,,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.99,2.92,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.12,2.12,Minor Flood,,5.7,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.79,6.78,Minor Flood,Falling,8.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.32,2.26,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.34,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.90,2.88,Normal,,4.,4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.51,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.74,2.70,Normal,,0.0,,,
