"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 11th May 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,,,Balangoda,"Heavy Rain / High Wind
& Landslide Risk",2021.03.22,40,150,,,,1,35,1,,1,3,19,"Official residence of the
Municipal Secretary
Balangoda"
,1,"රත්නපුර
,uj;jpdGhp
Rathnapura",Kalawana,"Flood/Heavy Rain /
Cutting Failure / High
Wind / Lightning",2021.05.07 / 08,2,9,,,,,2,20,,,,,
,,,Imbulpe,,2021.05.08,39,148,,,,,37,,,,,,
,,,Pelmadulla,,2021.05.08,10,35,,,,,10,,,,,,
,,,Kahawatta,,2021.05.08 / 10,12,52,,,,1,10,,,,,,
,,,Balangoda,,2021.05.09,8,27,,,,,6,,,,,,
,,,Elapatha,,2021.05.09,5,20,,,,,5,,,,,,
,,,Ehaliyagoda,,2021.05.09,1,4,,,,,1,,,,,,
"ස්ත්‍බරගමුවපලාත
rg;ufKt",දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,117,445,0,0,0,2,106,21,0,1,3,19,
"Sabaragamuw
a",2,"කෑගල්ල Nffhiy
Kegalle",Kegalla,Cutting Failure,2021:05:09,1,2,,,,,1,,,,,,
,,,Warakapola,High wind,2021:05:09,1,5,,,,,1,,,,,,
,,,,,2021:05:09,1,3,,,,,1,,,,,,
,,,Bulathkohupitiya,Cutting Failure,2021:05:10,1,7,,,,,1,,,,,,
,,,Dehiovita,Tree Fallen,2021:05:09,1,2,,,,,1,,,,,,
,,,,Lightning,2021:05:09,1,5,,,,,1,,,,,,
,,,Rambukkana,Lightning,2021:05:09,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,7,27,0,0,0,0,7,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,124,472,0,0,0,2,113,21,0,1,3,19,
"වයඹ පලාත
tlNky;
khfhzk;
North Western",3,,Nawagaththegama,,2021.05.06,1,2,,,,,1,,,,,,
,,,Anamaduwa,,2021.05.07,1,3,1,,,,,,,,,,
,,"පුත්තලම Gj;jsk;
Puttalam",Karuwalagaswewa,Lightning/High Wind,2021.05.05,1,4,,,,,1,,,,,,
,,,Nawagaththegama,,2021.05.08,3,9,1,1,,,1,,,,,,
,,,Karuwalagaswewa,,2021.05.08,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,7,20,2,1,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,7,20,2,1,0,0,4,0,0,0,0,0,
