River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.65,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.90,3.85,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.32,11.26,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,2.05,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.89,0.87,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.16,1.11,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.78,0.78,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.78,2.76,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.85,7.79,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.85,2.80,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.87,2.79,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.50,6.45,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.46,2.46,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.99,4.98,Minor Flood,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.78,2.78,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.26,6.24,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.99,1.98,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.13,1.12,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.75,3.02,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.97,1.89,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.00,2.95,Normal,,0.0
