"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report (Dry Weather Condition)- Sri Lanka දිනය/jpfjp /Date :08th October 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහන්වූ
පුද්ගලයින්
fhzhky;N
ghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW
Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුෙ පලොත
rg;ufKt",1,"රත්නපුර
,uj;jpdGhp
Rathnapura",Weligepola,"Dry Weather
Condition",2025.09.15,465,1268,,,,,,,,,,,
,,,Ibulpe,,2025.09.15,190,708,,,,,,,,,,,
"khfhzk
Sabaragamuwa",දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,655,1976,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,655,1976,0,0,0,0,0,0,0,0,0,0,
"දකුණු පලොත
njd; khfhzk;",2,"හම්බන්තොට
`k;ghe;Njhl;il
Hambantota",Lunugamwehera,"Dry Weather
Condition",2025.09.25,197,555,,,,,,,,,,,
Southern,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,197,555,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,197,555,0,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,852,2531,0,0,0,0,0,0,0,0,0,0,
ආපදො කළමනොකරණ මධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
