River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.24,1.24,Normal,,6.4,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.50,9.50,Normal,,6.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.85,Normal,,13.9,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.44,0.44,Normal,,4.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.83,0.90,Normal,,13.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.58,0.58,Normal,,8.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.73,0.70,Normal,,10.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.06,5.07,Normal,,40.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.50,1.56,Normal,,24.,0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.93,1.98,Normal,,17.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.84,2.78,Normal,,10.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.29,1.30,Normal,,10.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.57,1.59,Normal,,28.,1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.40,Normal,,3.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.61,2.62,Normal,,12.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.56,0.56,Normal,,6.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.22,0.24,Normal,,10.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.60,0.60,Normal,,3.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,-0.03,-0.03,Normal,,1.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.45,0.45,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.92,0.92,Normal,,3.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.9,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,1.1,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.16,-0.15,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.24,-3.26,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.63,Normal,,7.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.53,Normal,,21.,7
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.06,0.06,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.86,1.85,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.60,0.60,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.06,-0.06,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.07,-0.06,Normal,,5.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.89,1.89,Normal,,2.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.89,0.89,Normal,,1.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.63,0.63,Normal,,0.7,
