දිනය : 2026-07-31,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,26,80,55,වැසි ස්වල්පයක්
මඩකලපුව,35,26,75,55,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
තකාළඹ,31,27,85,70,විටින් විට වැසි
ගාල්ල,29,24,90,75,විටින් විට වැසි
යාපනය,32,28,80,65,ප්‍රධාන වශතයන් වැසි රහිත
මහනුවර,29,23,80,60,විටින් විට වැසි
නුවරඑළිය,18,15,85,75,විටින් විට වැසි
රේනපුරය,31,25,90,60,විටින් විට වැසි
ත්‍රිකුණාමලය,36,27,80,50,ප්‍රධාන වශතයන් වැසි රහිත
මන්නාරම,31,27,85,75,ප්‍රධාන වශතයන් වැසි රහිත
