River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,2.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.52,4.55,Normal,,50.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.74,11.70,Normal,,43.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.95,Normal,,13.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.93,Normal,,3.1,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.50,1.49,Normal,,19.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,4.1,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.35,3.34,Alert,Falling,13.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.46,8.45,Normal,,35.,6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.24,4.31,Normal,,36.,0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.47,3.53,Normal,,10.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.87,6.87,Minor Flood,,19.2,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.87,2.95,Normal,,19.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.19,4.17,Minor Flood,Falling,31.,3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.62,2.62,Minor Flood,,54.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.85,6.83,Minor Flood,Falling,33.,0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.76,2.70,Normal,,43.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.77,1.73,Normal,,36.,0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.83,0.86,Normal,,33.,3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.11,-0.11,Normal,,9.3,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.42,0.42,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.05,1.04,Normal,,0.4,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.29,-0.29,Normal,,1.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.05,0.05,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.42,-1.41,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.28,-0.27,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.07,-3.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.10,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.48,1.52,Normal,,4.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.14,0.14,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.37,1.37,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.32,0.32,Normal,,10.6,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.01,-0.01,Normal,,0.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.13,0.13,Normal,,4.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.17,3.17,Normal,,17.7,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.68,1.67,Normal,,10.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.37,3.34,Alert,Falling,10.9,,
