River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.05,0.95,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.48,2.46,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.48,10.44,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,1.87,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.70,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.77,Normal,,0.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.27,1.24,Normal,,2.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.57,6.55,Normal,,0.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.75,2.65,Normal,,4.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.68,2.48,Normal,,5.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.79,4.81,Normal,,13.8,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.92,2.75,Normal,,61.5,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.70,2.73,Normal,,1.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.64,1.65,Alert,Rising,17.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.12,6.11,Minor Flood,Falling,26.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.14,2.08,Normal,,83.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.16,1.06,Normal,,33.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.26,1.23,Normal,,3.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.62,0.62,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.72,0.72,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.45,1.44,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.07,-0.07,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.12,1.12,Normal,,0.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.80,0.79,Normal,,0.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.61,0.60,Normal,,2.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.51,0.48,Normal,,9.7,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.65,1.62,Normal,,9.7,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.04,-1.02,Normal,,0.3,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.68,Normal,,0.2,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.19,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.54,0.60,Normal,,0.2,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.98,0.97,Normal,,0.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.86,3.82,Normal,,12.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.53,0.52,Normal,,10.7,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.78,2.72,Normal,,9.2,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.10,0.10,Normal,,6.2,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.51,1.51,Normal,,17.6,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.77,2.77,Normal,,1.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.55,1.55,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.83,1.82,Normal,,0.0,
