River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.54,2.56,Normal,,27.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.72,11.07,Normal,,9.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.96,1.90,Normal,,14.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.21,Normal,,7.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.91,1.69,Normal,,75.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.30,1.37,Normal,,15.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,1.99,Normal,,1.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.57,6.63,Normal,,52.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.54,5.56,Alert,Rising,49.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.73,2.94,Normal,,43.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.87,5.85,Alert,Falling,20.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.90,3.87,Alert,Falling,1.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.09,2.07,Normal,,5.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.56,1.56,Alert,,9.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.28,4.52,Normal,,5.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.12,3.20,Normal,,12.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.85,2.70,Alert,Falling,107.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.67,1.63,Normal,,14.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.74,1.76,Normal,,0.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.51,1.55,Normal,,12.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.87,1.94,Normal,,1.6,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.60,0.76,Normal,,0.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.40,1.63,Normal,,18.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.25,1.31,Normal,,14.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,2.05,2.05,Normal,,33.6,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.77,1.86,Normal,,22.9,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.86,-1.30,Normal,,74.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.37,3.57,Normal,,14.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.48,1.46,Normal,,14.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.45,1.75,Normal,,38.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.78,4.79,Normal,,14.2,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.60,1.58,Normal,,14.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.60,2.62,Normal,,12.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.38,5.22,Alert,Falling,5.2,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.15,4.06,Normal,,0.0,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.13,3.07,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.98,3.92,Alert,Falling,0.5,
