River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.05,5.10,Normal,,22.9,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.70,12.69,Normal,,18.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.98,Normal,,40,.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.16,Normal,,22.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.60,1.64,Normal,,36,.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,6.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.10,3.12,Alert,Rising,68.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.30,8.30,Normal,,57.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.96,3.91,Normal,,20.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.95,3.99,Normal,,12.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.86,6.88,Minor Flood,Rising,71.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.93,2.95,Normal,,20.3,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.25,4.24,Minor Flood,Falling,51.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.66,2.66,Minor Flood,,41,.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.59,6.57,Minor Flood,Falling,25.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.34,2.30,Normal,,58.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.32,1.31,Normal,,13.4,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.85,2.83,Normal,,8.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.47,1.51,Normal,,12.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.19,3.21,Normal,,53.4,,
