දිනය : 2026-03-26,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,23,90,45,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,25,90,60,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,26,90,60,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,34,25,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,22,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,19,90,50,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,21,10,85,35,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,24,95,40,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,32,24,95,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,33,23,90,55,ප්‍රධාන වශයයන් වැසි රහිත
