දින්‍ය : 2026-04-25,,,,,
න්‍ගරය,උෂ්ණත්වය(ප්‍රස. අංශක),,සාප්‍රේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,24,95,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,33,26,95,70,වැසි ස්වල්පයක්
හකාළඹ,34,26,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,26,90,75,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,36,26,95,60,වැසි ස්වල්පයක්
මහනුවර,33,22,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,23,13,95,75,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,35,24,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,35,26,95,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,35,26,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
